CTA du site;Identifiant Multiplex;opérateur de multiplex;Canal;Zone principalement couverte;Département de la zone principalement couverte;COG étendu de la Commune Zone principalement couverte;Fréquence (MHz);Diffuseur;Commune d'implantation de l'émetteur;Adresse;Département de la commune d'implantation;COG étendu de Commune d'implantation de l'émetteur;MainId (décimal);SubId (décimal);TII;Statut;Longitude;Latitude;PAR de l'émetteur (dBW);Hauteur de l'antenne;Altitude;ANGLE_000;ANGLE_010;ANGLE_020;ANGLE_030;ANGLE_040;ANGLE_050;ANGLE_060;ANGLE_070;ANGLE_080;ANGLE_090;ANGLE_100;ANGLE_110;ANGLE_120;ANGLE_130;ANGLE_140;ANGLE_150;ANGLE_160;ANGLE_170;ANGLE_180;ANGLE_190;ANGLE_200;ANGLE_210;ANGLE_220;ANGLE_230;ANGLE_240;ANGLE_250;ANGLE_260;ANGLE_270;ANGLE_280;ANGLE_290;ANGLE_300;ANGLE_310;ANGLE_320;ANGLE_330;ANGLE_340;ANGLE_350
Paris;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;6C;Milly-la-Forêt;91;91405;185,36;TDF;Videlles;Tour DTRN;91;;14;02;14|02;agréé et en vigueur;002E2527;48N2842;37,782;93;147;10;9;8;6;5;3;2;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;2;3;5;6;8;9;10;10;9;9;10
Lyon;métropole_métropolitain_2;SAS OpeNMux;7B;Roussillon;38;38344;190,64;Towercast;Félines;L'Olme;7;;08;08;08|08;agréé et en vigueur;004E4446;45N1856;34,15;15;356;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3
Lyon;métropole_métropolitain_2;SAS OpeNMux;7B;Valence;26;26362;190,64;Towercast;Saint-Romain-de-Lerps;Chemin rural de la Chavas;7;;08;06;08|06;agréé et en vigueur;004E4803;44N5751;36,99;25;630;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4
Marseille;métropole_métropolitain_2;SAS OpeNMux;8B;Salon-de-Provence;13;13103;197,648;Towercast;Grans;RD 70A Basses Plaines;13;;28;07;28|07;agréé et en vigueur;005E0546;43N3755;32,79;23;83;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0
Marseille;métropole_métropolitain_2;SAS OpeNMux;8B;Velaux;13;13112;197,648;TDF;Velaux;Lieudit Baou Bacoua;13;;28;08;28|08;agréé et en vigueur;005E1418;43N3225;33,01;14;;20;22;26;22;20;21;23;21;20;20;21;17;12;8;5;3;1;0;0;0;1;3;5;8;12;16;19;18;18;22;24;19;18;21;26;22
Dijon;métropole_métropolitain_2;SAS OpeNMux;9C;Arnay-le-Duc;21;21023;206,352;Towercast;Painblanc;Forêt Tarbet;21;;00;10;00|10;agréé et en vigueur;004E3942;47N0844;34,15;52;550;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2
Dijon;métropole_métropolitain_2;SAS OpeNMux;9C;Beaune;21;21054;206,352;TDF;Beaune;Les Mondes Rondes;21;;13;10;13|10;agréé et en vigueur;004E4850;47N0205;36,021;42;352;3;2;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;2;3;4;4;5;5;5;5;5;5;4;4;3
Dijon;métropole_métropolitain_2;SAS OpeNMux;9C;Époisses;21;21247;206,352;Towercast;Époisses;Aire de repos d’Époisses;21;;00;01;00|01;agréé et en vigueur;004E0927;47N2906;32,304;32;282;13;11;8;6;5;3;2;2;1;1;0;0;0;0;0;1;1;2;2;3;5;6;8;11;13;16;19;20;21;22;22;22;21;20;18;16
Dijon;métropole_métropolitain_2;SAS OpeNMux;9C;Thorey-sous-Charny;21;21633;206,352;Towercast;Thorey-sous-Charny;Entrée de service PK 251;21;;00;02;00|02;agréé et en vigueur;004E2732;47N2049;32,304;45;350;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0
Lyon;métropole_métropolitain_2;SAS OpeNMux;10C;Montélimar;26;26198;213,36;TDF;Savasse;Montagne de Savasse;26;;06;07;06|07;agréé et en vigueur;004E4645;44N3647;36,021;26;387;0;0;2;3;4;7;16;15;12;13;17;14;6;5;3;2;0;0;0;1;3;5;7;10;19;19;13;14;25;16;9;8;5;3;1;0
Toulouse;métropole_métropolitain_2;SAS OpeNMux;10C;Vénéjan;30;30342;213,36;TDF;Vénéjan;Lombren et Darboussier - Station DVRN;30;;06;02;06|02;agréé et en vigueur;004E3944;44N1053;36,021;47;278;7;5;4;3;2;1;1;1;1;0;0;1;1;1;1;1;2;3;5;8;12;15;17;16;16;19;30;22;21;20;18;18;17;15;13;10
Poitiers;métropole_métropolitain_2;SAS OpeNMux;8C;Saint-Hilaire-les-Andrésis;45;45281;199,36;TDF;Saint-Hilaire-les-Andrésis;Lieudit Les Laurents;45;;05;04;05|04;agréé et en vigueur;003E0010;48N0200;36,021;78;164;2;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;9;9;9;9;9;8;7;6;4;3
Lyon;métropole_métropolitain_2;SAS OpeNMux;7B;Lyon;69;69123;190,64;Towercast;Saint-Cyr-au-Mont-d'Or;73 route du Mont Cindre;69;;20;10;20|10;agréé et en vigueur;004E4915;45N4921;40;34;463;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8
Lyon;métropole_métropolitain_2;SAS OpeNMux;7B;Vienne;38;38544;190,64;Towercast;Saint-Romain-en-Gal;Lieudit Pierre Plate;69;;08;05;08|05;agréé et en vigueur;004E4831;45N3157;40;45;473;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3
Lyon;métropole_métropolitain_2;SAS OpeNMux;7B;Villefranche-sur-Saône;69;69264;190,64;Towercast;Pommiers;Notre-Dame de Buisante;69;69156;20;04;20|04;agréé et en vigueur;004E4213;45N5754;40;19;338;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0
Dijon;métropole_métropolitain_2;SAS OpeNMux;9C;Chalon-sur-Saône;71;71076;206,352;Towercast;Bissey-sous-Cruchaud;Le Temple;71;;13;02;13|02;agréé et en vigueur;004E3954;46N4411;38,13;27;469;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1
Dijon;métropole_métropolitain_2;SAS OpeNMux;8C;Mâcon;71;71270;199,36;Towercast;La Roche-Vineuse;Lieudit le Gros Mont;71;;01;01;01|01;agréé et en vigueur;004E4700;46N2106;36,99;32;390;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8
Dijon;métropole_métropolitain_2;SAS OpeNMux;9C;Tournus;71;71543;206,352;TDF;Tournus;L'Ormeteau;71;;13;01;13|01;agréé et en vigueur;004E5235;46N3356;36,99;29;310;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;2;3;4;4;5;5;5;5;5;5;4;4;3;3;2;1
Paris;métropole_métropolitain_2;SAS OpeNMux;8C;Paris;75;75056;199,36;Towercast;Paris 17e arrondissement;Hôtel Hyatt Regency Paris Étoile, 3 place du Général-Kœnig;75;;05;01;05|01;agréé et en vigueur;002E1702;48N5248;40;167;37;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7
Paris;métropole_métropolitain_2;SAS OpeNMux;8C;Paris, Bagnolet;75;75056;199,36;Towercast;Bagnolet;Tour Mercuriales Ouest;93;;05;10;05|10;agréé et en vigueur;002E2455;48N5203;41,461;139;82;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3
Paris;métropole_métropolitain_2;SAS OpeNMux;8C;Égreville;77;77168;199,36;Towercast;Égreville;La Marcelle du Bois Liard;77;;05;05;05|05;agréé et en vigueur;002E5253;48N0953;41,461;38;121;5;3;2;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;2;3;5;7;8;9;9;9;9;9;9;8;6
Paris;métropole_métropolitain_2;SAS OpeNMux;8C;Fleury-en-Bière;77;77185;199,36;Towercast;Fleury-en-Bière;PR 50, péage de Fleury-en-Bière;77;;05;06;05|06;agréé et en vigueur;002E3225;48N2543;32,304;36;68;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1
Paris;métropole_métropolitain_2;SAS OpeNMux;8C;Grez-sur-Loing;77;77216;199,36;Towercast;Grez-sur-Loing;A6 District de Nemours les Vouzelles;77;;05;07;05|07;agréé et en vigueur;002E4055;48N1728;32,304;28;59;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4
Marseille;métropole_métropolitain_2;SAS OpeNMux;10C;Avignon;84;84007;213,36;TDF;Le Pontet;Centre DOTRN;84;;06;05;06|05;agréé et en vigueur;004E5135;43N5812;36,232;88;21;0;4;3;3;3;5;7;5;7;9;3;3;5;4;3;5;4;1;0;1;1;1;0;1;1;1;1;1;2;5;5;4;2;3;12;2
Marseille;métropole_métropolitain_2;SAS OpeNMux;10C;Cheval-Blanc;84;84038;213,36;TDF;Cheval-Blanc;Les Iscles;84;;06;06;06|06;agréé et en vigueur;005E0249;43N4813;36,232;39;70;1;1;2;3;5;6;6;6;6;6;6;6;6;5;4;3;2;2;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
Dijon;métropole_métropolitain_2;SAS OpeNMux;9C;Avallon;89;89005;206,352;Towercast;Annay-la-Côte;Les Petits Chaumes;89;;00;03;00|03;agréé et en vigueur;003E5338;47N3222;34,15;20;324;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8
Dijon;métropole_métropolitain_2;SAS OpeNMux;9C;Bleigny-le-Carreau;89;89045;206,352;TDF;Bleigny-le-Carreau;Thureau Saint-Denis;89;;00;04;00|04;agréé et en vigueur;003E3959;47N5026;38,451;101;291;4;5;5;5;5;5;5;4;4;3;3;2;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;2;3;4
Paris;métropole_métropolitain_2;SAS OpeNMux;8C;Corbeil-Essonnes;91;91174;199,36;Towercast;Évry-Courcouronnes;Tour Évry 2, Terrasse de l'Agora;91;;05;03;05|03;agréé et en vigueur;002E2541;48N3743;38,451;52;82;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0
Dijon;Dijon_étendu_1;SAS Compagnie des multiplex DAB;9B;Dijon;21;21231;204,64;Towercast;Chenôve;le Plain de la Montagne;21;;04;10;04|10;agréé et en vigueur;004E5926;47N1801;38,751;29;375;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0
Dijon;Dijon_étendu_1;SAS Compagnie des multiplex DAB;9B;Chalon-sur-Saône;71;71076;204,64;Towercast;Bissey-sous-Cruchaud;Le Temple;71;;04;02;04|02;agréé et en vigueur;004E3954;46N4411;38,129;27;469;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1
Marseille;Avignon_étendu_1;SAS Compagnie des multiplex DAB;9D;Avignon;84;84007;208,064;TDF;Le Pontet;Centre DOTRN;84;;25;05;25|05;agréé et en vigueur;004E5135;43N5812;38,865;88;21;1;5;3;2;2;5;8;5;4;9;4;3;5;4;3;4;3;0;0;2;2;1;1;1;2;1;1;1;2;4;6;4;2;4;9;1
Toulouse;Avignon_étendu_1;SAS Compagnie des multiplex DAB;9D;Vénéjan;30;30342;208,064;TDF;Vénéjan;Lombren et Darboussier - Station DVRN;30;;25;02;25|02;agréé et en vigueur;004E3944;44N1053;37,782;47;278;7;5;4;3;2;2;2;1;1;0;0;1;2;2;1;2;2;3;5;7;11;15;17;17;18;22;30;23;24;22;18;17;17;15;12;9
Paris;Paris_étendu_1;SAS Compagnie des multiplex DAB;11B;Paris;75;75056;218,64;Towercast;Paris 17e arrondissement;hôtel Hyatt Regency Paris Étoile;75;;07;01;07|01;agréé et en vigueur;002E1702;48N5248;40;167;37;4;3;2;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;9;9;9;9;9;8;7;6
Paris;Paris_étendu_1;SAS Compagnie des multiplex DAB;11B;Paris, Bagnolet;75;75056;218,64;Towercast;Bagnolet;Tour Mercuriales Ouest;93;;07;10;07|10;agréé et en vigueur;002E2455;48N5203;41,461;139;82;3;4;6;7;8;9;9;9;9;9;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;2
Marseille;Avignon_local_1;SAS Région Mux;5C;Avignon;84;84007;178,352;TDF;Le Pontet;Centre DOTRN;84;;36;05;36|05;agréé et en vigueur;004E5135;43N5812;36,628;88;21;1;1;4;5;6;5;4;4;12;9;3;4;6;5;4;4;2;1;0;1;2;2;2;2;1;1;1;0;1;5;7;5;2;2;11;6
Dijon;Dijon_local_1;SAS Région Mux;11B;Dijon;21;21231;218,64;PHF COM;Dijon;Fort de la Motte-Giron;21;;67;10;67|10;agréé et en vigueur;004E5912;47N1854;38,865;27;391;5;3;2;1;1;0;0;0;0;0;0;0;1;1;2;3;5;6;8;9;11;11;12;13;13;13;13;13;13;13;12;11;11;9;8;6
Lille;Lille_étendu_1;SAS Cmux;8A;Arras, Béthune, Douai et Lens;62;62041;195,936;TDF;Bouvigny-Boyeffles;Lieudit le Mont;62;62170;00;01;00|01;agréé et en vigueur;002E3934;50N2507;40,21;74;192;0;0;-0,2;-0,4;-0,6;-0,8;-1;-1;-1;-0,9;-0,7;-0,4;-0,2;-0,1;-0,1;-0,3;-0,9;-1,7;-2,9;-4,4;-6,1;-7,6;-8,7;-9,2;-9,3;-9,3;-9,3;-9,2;-8,6;-7,5;-5,9;-4,3;-2,8;-1,6;-0,8;-0,3
Lyon;Lyon_local_1;Lyon local 1;11B;Lyon;69;69123;218,64;Autre;Rillieux-la-Pape;9 rue de Francfort;69;69286;24;10;24|10;agréé et en vigueur;004E5424;45N4905;38,45;56;298;-6,7;-6,7;-6,7;-6,7;-6,7;-6,5;-6;-5,4;-4,5;-3,6;-2,7;-1,8;-1,2;-0,7;-0,3;-0,1;0;0;0;0;0;0;0;0;0;-0,1;-0,3;-0,7;-1,2;-1,8;-2,7;-3,6;-4,5;-5,4;-6;-6,5
Marseille;Marseille_étendu_1;SAS Compagnie des multiplex DAB;5B;Marseille;13;13055;176,64;TDF;Simiane-Collongue;Grande Étoile;13;13107;32;10;32|10;agréé et en vigueur;005E2532;43N2302;40;106;585;-1,9;-0,1;-0,8;-3,3;-3,4;-1,8;-1,5;-2,9;-4,2;-1,9;-0,1;-0,8;-3,3;-3,4;-1,8;-1,5;-2,9;-4,2;-1,9;-0,1;-0,8;-3,3;-3,4;-1,8;-1,5;-2,9;-4,2;-1,9;-0,1;-0,8;-3,3;-3,4;-1,8;-1,5;-2,9;-4,2
Marseille;Marseille_étendu_1;SAS Compagnie des multiplex DAB;5B;Marseille Pomègues;13;13055;176,64;TDF;Marseille;île de Pomègues, Îles du Frioul;13;13055;32;01;32|01;agréé et en vigueur;005E1830;43N1629;36,02;27;86;-2,9;-0,3;-0,3;-2,8;-4,7;-2,9;-1,2;-0,8;-1,2;-2,6;-4,4;-6,8;-9,7;-13,3;-17,8;-20,3;-19;-20,1;-26,3;-22,8;-22,5;-23,8;-19,3;-18,6;-19,3;-16,8;-12,9;-9,6;-6,8;-4,4;-2,4;-1,2;-0,7;-1,3;-3;-4,9
Paris;Paris_intermédiaire_2;SAS Radiomux;6D;Paris, Meudon;75;75056;187,072;TDF;Meudon;Étoile du Pavé de Meudon;92;92048;13;01;13|01;agréé et en vigueur;002E1216;48N4809;40;103;171;0;0;0,2;0,4;0,6;0,8;0,8;0,8;0,6;0,4;0,2;0,1;0;0,2;0,6;1,3;2,4;3,8;5,5;7,3;8,8;9,6;9,7;9,5;9,4;9,5;9,6;9,5;8,7;7,2;5,4;3,7;2,3;1,3;0,6;0,2
Marseille;Nice_intermédiaire_1;SAS Opemux RNT;11B;Nice;06;06088;218,64;TDF;Villefranche-sur-Mer;mont Leuze;06;06159;10;04;10|04;agréé et en vigueur;007E1915;43N4318;39,03;53;551;-0,6;-1,4;-2,6;-4;-5,6;-7;-8,1;-8,6;-8,7;-8,7;-8,7;-8,5;-7,9;-6,9;-5,4;-3,9;-2,5;-1,4;-0,6;-0,2;0;-0,1;-0,4;-0,8;-1,2;-1,6;-1,8;-1,9;-1,8;-1,5;-1,2;-0,8;-0,4;-0,2;-0,1;-0,2
Marseille;Nice_intermédiaire_1;SAS Opemux RNT;11B;Cannes;06;06029;218,64;TDF;Vallauris;Centre hélio-marin;06;06155;10;05;10|05;agréé et en vigueur;007E0208;43N3442;36,02;45;281;-18;-16,6;-16,8;-15,1;-11,7;-7,8;-4,4;-2;-0,5;-0,1;-0,2;-0,4;-0,8;-1,9;-3,1;-3,3;-3,4;-3,4;-2,1;-1;-0,5;-0,2;0;-0,6;-2,1;-4,6;-8,1;-11,9;-14,9;-16,3;-16;-17,4;-20,8;-16,7;-16,5;-20,3
Marseille;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;7C;Marseille;13;13055;192,352;Towercast;Septèmes-les-Vallons;Petite Étoile;13;13106;27;10;27|10;agréé et en vigueur;005E2445;43N2321;43,01;71;556;7;7;7;7;8;8;8;7;6;5;3;2;1;1;1;0;0;0;0;0;0;0;0;0;1;1;2;2;3;5;6;7;8;8;8;7
Marseille;Toulon_local_1;SAS Rmux;11C;Toulon;83;83137;220,352;TDF;Six-Fours-les-Plages;Notre-Dame-du-Mai, Cap Sicié;83;;00;10;00|10;agréé et en vigueur;005E5044;43N0311;36,02;72;340;0;-1,1;-2;-1,2;-0,5;-0,7;-1;-1,7;-2,9;-5,2;-9;-14,9;-21,2;-21,6;-17,7;-16,1;-19,3;-20,7;-17,4;-20;-18,6;-16,4;-18,5;-22,4;-20,7;-14,3;-8,8;-5,2;-3;-1,6;-1;-0,6;-0,5;-1,1;-1,8;-0,8
Marseille;Toulon_étendu_1;SAS Compagnie des multiplex DAB;9A;Toulon;83;83137;202,928;TDF;Six-Fours-les-Plages;Notre-Dame-du-Mai, Cap Sicié;83;;26;10;26|10;agréé et en vigueur;005E5044;43N0311;40;72;340;0;1;2;1;1;1;1;2;3;5;9;15;21;22;18;16;19;21;17;20;19;16;19;22;21;14;9;5;3;2;1;1;1;1;2;1
Marseille;Toulon_étendu_1;SAS Compagnie des multiplex DAB;9A;Brignoles;83;;202,928;TDF;La Roquebrussanne;station la Loube;83;;26;01;26|01;agréé et en vigueur;005E5931;43N2207;36,81;49;810;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;9;9;9;9;9;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1
Marseille;Toulon_étendu_1;SAS Compagnie des multiplex DAB;9A;Pignans;83;;202,928;TDF;Pignans;lieudit Notre-Dame des Anges;83;;26;02;26|02;agréé et en vigueur;006E1739;43N1653;36,81;70;775;0;0;0;0;1;2;3;4;6;7;8;9;9;9;9;9;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;1;1;0
Marseille;Toulon_étendu_1;SAS Compagnie des multiplex DAB;9A;Hyères;83;;202,928;TDF;Bormes-les-Mimosas;Cap Bénat;83;;26;03;26|03;agréé et en vigueur;006E2056;43N0612;37;22;207;9;6;2;0;0;0;1;1;3;5;8;11;13;15;22;18;14;19;22;15;13;11;7;4;2;1;1;0;0;1;3;7;10;8;8;9
Marseille;métropole_métropolitain_2;SAS OpeNMux;8B;Marseille;13;13055;197,648;Towercast;Septèmes-les-Vallons;Petite Étoile;13;13106;28;10;28|10;agréé et en vigueur;005E2445;43N2321;43;71;556;7;7;7;7;8;8;8;7;6;5;3;2;1;1;1;0;0;0;0;0;0;0;0;0;1;1;2;2;3;5;6;7;8;8;8;7
Poitiers;Orléans_local_1;SAS Grand Ouest Mux;5C;Orléans;45;;178,352;TDF;Fleury-les-Aubrais;2a rue des Bicharderies;45;;23;10;23|10;agréé;001E5539;47N5636;38,06;89;125;6;7;7;7;7;7;6;6;5;4;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;3;4;5
Poitiers;Poitiers_local_1;SAS Grand Ouest Mux;7C;Poitiers;86;;192,352;PHF COM;Saint-Benoît;Chemin du champ de la Caille, avenue du 11 Novembre;86;;14;10;14|10;agréé;000E2056;46N3346;39,14;74;121;0;0;0;0;0;0;1;1;1;2;3;4;4;5;6;6;6;6;6;6;6;6;6;5;4;4;3;2;1;1;1;0;0;0;0;0
Poitiers;Tours_local_1;SAS Grand Ouest Mux;9B;Tours;37;;204,64;PHF COM;Tours;23 rue Pinguet Guindon;37;;26;10;26|10;agréé;000E4105;47N2452;39,73;52;99;5;4;4;3;2;2;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;2;3;4;4;5;5;5;5;5;5
Lyon;Saint-Étienne_étendu_1;SAS Compagnie des multiplex DAB;6C;Saint-Étienne;42;;185,36;Towercast;Saint-Étienne;Le Guizay;42;;05;10;05|10;agréé et en vigueur;004E2316;45N2402;40;62;780;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1
Lyon;Saint-Étienne_étendu_1;SAS Compagnie des multiplex DAB;6C;Roanne;42;;185,36;Towercast;Cherier;Sainte Agathe;42;;05;01;05|01;agréé et en vigueur;003E5510;45N5904;36,99;21;855;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0
Marseille;Nice_intermédiaire_2;SAS Rmux;11C;Cannes;06;;220,352;TDF;Vallauris;centre hélio marin;06;;17;05;17|05;agréé et en vigueur;007E0208;43N3442;36,02;46;281;18;17;17;15;12;8;4;2;1;0;0;0;1;2;3;3;3;3;2;1;1;0;0;1;2;5;8;12;15;16;16;17;21;17;17;20
Marseille;Nice_intermédiaire_2;SAS Rmux;11C;Grasse;06;;220,352;TDF;Grasse;lieudit Roquevignon, chemin des Pins;06;;17;06;17|06;agréé et en vigueur;006E5503;43N3940;35,44;17;463;8;7;6;5;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;4;6;7;8;9;9;9;9;9;9;9
Marseille;Nice_local_2;SAS Rmux;9D;Cannes;06;;208,064;TDF;Vallauris;centre hélio marin;06;;04;05;04|05;agréé et en vigueur;007E0208;43N3442;36,03;46;281;19;16;15;12;9;6;3;2;0;0;0;1;1;2;2;2;2;2;2;1;0;0;0;0;2;4;6;10;13;15;17;20;21;16;16;20
Marseille;Nice_local_2;SAS Rmux;9D;Nice;06;;208,064;TDF;Villefranche-sur-Mer;Mont Leuze;06;;04;04;04|04;expérimentation en remplacement du site du Mont de l'Ubac;007E1915;43N4318;36,99;54;551;1;2;3;4;6;7;8;9;9;9;9;9;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
Paris;Paris_intermédiaire_1;SAS Rmux;6A;Paris, Meudon;75;75056;181,936;TDF;Meudon;Étoile du Pavé de Meudon;92;92048;12;01;12|01;agréé et en vigueur;002E1216;48N4809;40;103;171;0;0;0,2;0,4;0,6;0,8;0,8;0,8;0,6;0,4;0,2;0,1;0;0,2;0,6;1,3;2,4;3,8;5,5;7,3;8,8;9,6;9,7;9,5;9,4;9,5;9,6;9,5;8,7;7,2;5,4;3,7;2,3;1,3;0,6;0,2
Lille;Lille_local_1;SAS RNT Lille 1;7C;Lille-Roubaix;59;59350, 59512;192,352;ADB;Roubaix;rue Henri Dunant;59;59512;05;05;05|05;agréé et en vigueur;003E1057;50N4123;26,02;78;28;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1
Lyon;Annecy_étendu_1;SAS Compagnie des multiplex DAB;7C;Annecy;74;74010;192,352;TDF;Annecy;Tour DVRN Chanteloup, Annecy-le-Vieux;74;74010;18;01;18|01;agréé et en vigueur;006E1020;45N5459;36,02;32;641;5;5;5;5;6;8;13;15;14;13;14;16;13;8;6;5;5;5;5;5;4;2;0;0;1;2;2;1;2;2;1;0;0;2;4;5
Lyon;Annecy_étendu_1;SAS Compagnie des multiplex DAB;7C;Annemasse;74;74012;192,352;TDF;Monnetier-Mornex;restaurant de l'observatoire;74;74185;10;02;10|02;agréé et en vigueur;006E1119;46N0843;36,02;24;1244;4;5;6;4;1;0;1;1;2;3;3;4;5;7;10;12;11;12;14;18;14;8;5;4;3;3;2;3;3;2;1;0;1;2;3;3
Lyon;Annecy_étendu_1;SAS Compagnie des multiplex DAB;7C;Chambéry;73;73065;192,352;TDF;Le Bourget-du-Lac;Relais TDF Mont du Chat;73;73051;18;03;18|03;agréé et en vigueur;005E4917;45N3936;36,02;32;1497;0;0;1;1;2;2;3;4;4;4;3;2;1;0;0;0;1;3;5;7;10;14;18;20;16;15;18;23;18;14;11;9;6;4;2;1
Lyon;Annemasse_local_1;SAS Région Mux;7D;Annemasse;74;74012;194,064;PHF COM;Monnetier-Mornex;lieudit Pierre Vieille;74;74185;34;02;34|02;agréé et en vigueur;006E1305;46N1005;34,77;23;796;0;0;0;0;0;0;0;0;0;0;0;1;2;2;4;5;6;7;8;9;9;9;9;9;8;7;6;5;4;2;2;1;0;0;0;0
Lyon;Chambéry_local_1;SAS Région Mux;6D;Chambéry;73;73065;187,072;PHF COM;Le Bourget-du-Lac;Le Mont du Chat;73;73051;21;03;21|03;agréé et en vigueur;005E4920;45N3948;36,99;18;1474;30;24;15;9;6;4;3;2;1;1;0;0;0;0;0;1;1;2;3;4;6;9;15;24;30;33;33;33;33;33;33;33;33;33;33;33
Lyon;Grenoble_local_1;SAS Région Mux;9C;Grenoble;38;38185;206,352;Towercast;Seyssins;La Combe;38;38486;26;01;26|01;agréé et en vigueur;005E3954;45N0903;38,26;37;755;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0
Lyon;Grenoble_local_1;SAS Région Mux;9C;Voiron;38;38563;206,352;Towercast;Montaud;Mollard Guillon;38;38248;26;02;26|02;agréé et en vigueur;005E3246;45N1537;35,44;33;852;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0
