CTA du site;Identifiant Multiplex;opérateur de multiplex;Canal;Zone principalement couverte;Département de la zone principalement couverte;COG étendu de la Commune Zone principalement couverte;Fréquence (MHz);Diffuseur;Commune d'implantation de l'émetteur;Adresse;Département de la commune d'implantation;COG étendu de Commune d'implantation de l'émetteur;MainId (décimal);SubId (décimal);TII;Statut;Longitude;Latitude;PAR de l'émetteur (dBW);Hauteur de l'antenne;Altitude;ANGLE_000;ANGLE_010;ANGLE_020;ANGLE_030;ANGLE_040;ANGLE_050;ANGLE_060;ANGLE_070;ANGLE_080;ANGLE_090;ANGLE_100;ANGLE_110;ANGLE_120;ANGLE_130;ANGLE_140;ANGLE_150;ANGLE_160;ANGLE_170;ANGLE_180;ANGLE_190;ANGLE_200;ANGLE_210;ANGLE_220;ANGLE_230;ANGLE_240;ANGLE_250;ANGLE_260;ANGLE_270;ANGLE_280;ANGLE_290;ANGLE_300;ANGLE_310;ANGLE_320;ANGLE_330;ANGLE_340;ANGLE_350
Rennes;Nantes_étendu_1;SAS Cmux;5D;Nantes;44;44109;180,064;GRAM;Saint-Herblain;IMMEUBLE DU SILLON DE BRETAGNE, 8 AVENU…;44;44162;08;10;08|10;agréé et en vigueur;001W3630;47N1441;39,542;125;54;7;5,5;4;3;1,5;0,9;0,2;0;0;0;0,2;0,8;0,9;0,9;0,9;0,8;0,2;0;0;0;0,2;0,9;1,5;2,8;4;5,5;7;8;8;8;7;7;7;8;8;8
Rennes;Nantes_local_2;SAS Opemux RNT;12A;Nantes;44;44109;223,936;TDF;Saint-Herblain;1 RUE AMBROISE CROIZAT;44;44162;20;10;20|10;agréé et en vigueur;001W3654;47N1325;36,02;98;55;1,3;0,5;0,1;0;0,2;0,6;1;1,5;1,9;2,1;2,2;2,1;1,9;1,5;1;0,6;0,2;0;0,1;0,5;1,3;2,4;3,9;5,5;7;8;8,4;8,5;8,5;8,5;8,4;7,9;6,9;5,4;3,8;2,4
Caen;Rouen_étendu_1;SAS Cmux;10A;Rouen;76;76540;209,936;Towercast;Canteleu;PLACE BOIELDIEU - IMMEUBLE COMTÉ DE FOI…;76;76157;16;10;16|10;agréé et en vigueur;001E0159;49N2634;40;66;124;7,1;5,7;4,1;2,8;1,5;0,8;0,3;0,1;0;0,1;0,2;0,5;0,7;0,7;0,7;0,5;0,2;0,1;0;0,1;0,3;0,8;1,5;2,8;4,1;5,7;7,1;8,1;8,3;8,1;7,8;7,6;7,8;8,1;8,3;8,1
Caen;Rouen_étendu_1;SAS Cmux;10A;Le Havre;76;76351;209,936;Towercast;Le Havre;CHÂTEAU D'EAU DES HALLATES, RUE SALVADO…;76;76351;16;01;16|01;agréé et en vigueur;000E0823;49N3017;40;49;74;2,9;1,7;0,9;0,3;0,1;0;0,1;0,1;0,4;0,5;0,5;0,5;0,4;0,1;0,1;0;0,1;0,3;0,9;1,7;2,9;4,2;5,7;7;7,7;7,8;7,5;7,2;7,1;7,2;7,5;7,8;7,7;7;5,7;4,2
Caen;Rouen_local_1;SAS Grand Ouest Mux;9C;Rouen;76;76540;206,352;Grand Ouest Mux;Rouen;17-18 RUE RICHARD WAGNER - IMMEUBLE LA …;76;76540;04;10;04|10;agréé et en vigueur;001E0812;49N2650;37,781;63;136;6,1;6,4;6,6;6,6;6,6;6,6;6,6;6,4;6,1;5,5;4,7;3,8;2,8;2;1,3;0,8;0,4;0,2;0,1;0;0;0;0;0;0;0;0,1;0,2;0,4;0,8;1,3;2;2,8;3,8;4,7;5,5
Caen;Rouen_local_2;SAS Grand Ouest Mux;10C;Rouen;76;76540;213,36;Grand Ouest Mux;Rouen;17-18 RUE RICHARD WAGNER - IMMEUBLE LA …;76;76540;23;10;23|10;agréé et en vigueur;001E0812;49N2650;37,781;63;136;6,1;6,4;6,6;6,6;6,6;6,6;6,6;6,4;6,1;5,5;4,7;3,8;2,8;2;1,3;0,8;0,4;0,2;0,1;0;0;0;0;0;0;0;0,1;0,2;0,4;0,8;1,3;2;2,8;3,8;4,7;5,5
Caen;Le Havre_local_1;SAS Grand Ouest Mux;10D;Le Havre;76;76351;215,072;Grand Ouest Mux;Le Havre;75 RUE ALBERT COPIEUX;76;76351;29;01;29|01;agréé et en vigueur;000E0522;49N3026;36,02;30;93;10,8;9,3;7,6;6;4,5;3,3;2,2;1,1;0,8;0,4;0,2;0,1;0;0,1;0,2;0,4;0,8;1,4;2,2;3,3;4,5;6;7,6;9,3;10,8;12,1;13,3;14,2;14,7;15;15,1;15;14,7;14,2;13,3;12,1
Paris;Paris_intermédiaire_2;SAS Radiomux;6D;Paris;75;75056;187,072;TDF;Les Lilas;FORT DE ROMAINVILLE;93;93045;13;10;13|10;agréé et en vigueur;002E2520;48N5307;39,03;144;129;2,5;3,5;4,5;5,4;6;6,4;6,6;6,6;6,6;6,5;6,4;6;5,4;4,6;3,6;2,6;1,7;1;0,4;0,1;0;0;0,1;0,2;0,2;0,2;0,2;0,2;0,1;0;0;0,1;0,4;0,7;1,3;2,1
Dijon;Mâcon_local_1;SAS Région Mux;8A;Mâcon;71;71270;195,936;Towercast;La Roche-Vineuse;Le Gros Mont;71;71371;14;01;14|01;non agréé (cause : coordination internationale) et en diffusion;004E4700;46N2106;32,55;32;390;8;7;6;4;3;2;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;2;3;4;6;7;8;8;8;7;7;7;8;8
Bordeaux;Bordeaux_étendu_1;SAS Opemux RNT;8C;Bordeaux;33;33063;199,36;TDF;Bouliac;avenue du Domaine-de-Vialle;33;33065;13;10;13|10;agréé et en vigueur;000W3020;44N4913;37,781;163;66;2;2;2;2;3;4;8;15;15;13;12;12;15;12;6;4;3;2;2;2;2;3;2;0;0;2;3;3;3;3;3;2;0;0;2;3
Bordeaux;Bordeaux_étendu_1;SAS Opemux RNT;8C;Marmande;47;47157;199,36;;Guérin;lieudit Renard;47;47115;13;01;13|01;agrément retiré;000E0412;44N2558;36;37;139;0;0;1;1;2;3;3;3;2;1;0;0;0;0;1;1;2;3;3;3;2;1;0;0;0;0;1;1;2;3;3;3;2;1;0;0
Bordeaux;Bordeaux_local_1;SCIC SARL La Coopérative de Radiodiffusion;7A;Bordeaux;33;33063;188,928;TDF;Lormont;16, rue Henri-Dunant;33;33249;30;10;30|10;agréé - ne démarrera pas le 5/11;000W3055;44N5219;40;78;47;12;13;13;13;13;13;13;13;13;13;12;11;9;8;6;5;3;2;1;1;1;0;0;0;0;0;1;1;1;2;3;5;6;8;9;11
Bordeaux;Bordeaux_local_1;SCIC SARL La Coopérative de Radiodiffusion;7A;Bordeaux;33;33063;188,928;La Coopérative de Radiodiffusion;Bordeaux;71 cours Edouard Vaillant;33;33063;30;10;30|10;secours -démarrera le 5/11;000W3331;44N5141;33;35;5;11,6;12,5;13,1;13,3;13,4;13,4;13,4;13,3;13,1;12,5;11,6;10,6;9,2;7,7;6;4,6;3,3;2,2;1,4;0,8;0,5;0,2;0;0;0;0,2;0,5;0,8;1,4;2,2;3,3;4,6;6;7,7;9,2;10,6
Bordeaux;Bordeaux_local_2;SAS Opemux RNT;8B;Bordeaux;33;33063;197,648;TDF;Bouliac;avenue du Domaine-de-Vialle;33;33065;31;10;31|10;agréé et en vigueur;000W3020;44N4913;36;163;66;3;3;3;3;3;4;7;11;14;13;13;13;15;13;7;4;3;3;2;2;3;2;1;0;1;2;4;4;4;4;3;2;1;0;2;3
Bordeaux;Arcachon_local_1;SAS Cmux;11C;Arcachon;33;33009;220,352;TDF;La Teste-de-Buch;lieudit Camicas, Centre Radio Maritime;33;33529;25;01;25|01;agréé et en vigueur;001W0949;44N3849;36;91;42;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;2;2;3;4;4;5;5;5;5;5;5;5;4;4;3;2;2
Toulouse;Toulouse_étendu_1;SAS Opemux RNT;6B;Toulouse;31;31555;183,648;Towercast;Toulouse;chemin Pech-David;31;31555;18;10;18|10;agréé et en vigueur;001E2647;43N3332;40;27;253;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1
Toulouse;Toulouse_étendu_1;SAS Opemux RNT;6B;Montauban;82;82121;183,648;Towercast;Montauban;impasse de la Dame;82;82121;03;01;03|01;agréé et en vigueur;001E2133;43N5915;37;34;140;0;0;0;0;1;2;3;4;6;7;8;9;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;0;0;0
Toulouse;Toulouse_local_1;SAS Coméquip;7C;Toulouse;31;31555;192,352;Coméquip;Toulouse;60, rue d'Assalit;31;31555;30;10;30|10;agréé et en vigueur;001E2802;43N3621;37,781;20;198;10;11;12;13;13;14;14;14;13;13;12;11;10;9;8;6;5;4;3;2;1;0;0;0;0;0;0;0;1;2;3;4;5;6;8;9
Toulouse;Toulouse_local_2;SAS Opemux RNT;8C;Toulouse;31;31555;199,36;Towercast;Toulouse;chemin Pech-David;31;31555;31;10;31|10;agréé et en vigueur;001E2647;43N3332;37;27;253;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1
Lyon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;7A;Roussillon;38;38344;188,928;Towercast;Félines;L'Olme;7;;67;08;67|08;agréé et en vigueur;004E4446;45N1856;34,15;15;356;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3
Lyon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;7A;Valence;26;26362;188,928;Towercast;Saint-Romain-de-Lerps;Chemin rural de la Chavas;7;;67;06;67|06;agréé et en vigueur;004E4803;44N5751;40;25;630;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4
Marseille;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;7C;Roquevaire;13;13086;192,352;Towercast;Roquevaire;Mont du Marseillais;13;;27;01;27|01;agréé et en vigueur;005E3428;43N2131;34,15;27;625;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8
Dijon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;9D;Arnay-le-Duc;21;21023;208,064;Towercast;Painblanc;Forêt Tarbet;21;;06;04;06|04;agréé et en vigueur;004E3942;47N0844;34,15;52;550;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2
Dijon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;9D;Beaune;21;21054;208,064;TDF;Beaune;Les Mondes Rondes;21;;06;01;06|01;agréé et en vigueur;004E4850;47N0205;36,021;42;352;3;2;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;2;3;4;4;5;5;5;5;5;5;4;4;3
Dijon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;9D;Dijon;21;21231;208,064;Towercast;Chenôve;le Plain de la Montagne;21;;06;10;06|10;agréé et en vigueur;004E5926;47N1801;36,99;29;375;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0
Dijon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;9D;Époisses;21;21247;208,064;Towercast;Époisses;Aire de repos d’Époisses;21;;06;05;06|05;agréé et en vigueur;004E0927;47N2906;32,304;32;282;13;11;8;6;5;3;2;2;1;1;0;0;0;0;0;1;1;2;2;3;5;6;8;11;13;16;19;20;21;22;22;22;21;20;18;16
Dijon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;9D;Fleurey-sur-Ouche;21;21273;208,064;Towercast;Ancey;lieudit Roche Aigüe;21;;06;06;06|06;agréé et en vigueur;004E4839;47N2006;34,15;21;602;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8
Dijon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;9D;Thorey-sous-Charny;21;21633;208,064;Towercast;Thorey-sous-Charny;Entrée de service PK 251;21;;06;07;06|07;agréé et en vigueur;004E2732;47N2049;32,304;45;350;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0
Lyon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;10B;Montélimar;26;26198;211,648;TDF;Savasse;Montagne de Savasse;26;;04;07;04|07;agréé et en vigueur;004E4645;44N3647;35,563;26;387;0;0;2;3;4;7;16;15;12;13;17;14;6;5;3;2;0;0;0;1;3;5;7;10;19;19;13;14;25;16;9;8;5;3;1;0
Toulouse;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;10B;Vénéjan;30;30342;211,648;TDF;Vénéjan;Lombren et Darboussier - Station DVRN;30;;04;02;04|02;agréé et en vigueur;004E3944;44N1053;36,021;47;278;7;5;4;3;2;1;1;1;1;0;0;1;1;1;1;1;2;3;5;8;12;15;17;16;16;19;30;22;21;20;18;18;17;15;13;10
Poitiers;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;6C;Saint-Hilaire-les-Andrésis;45;45281;185,36;TDF;Saint-Hilaire-les-Andrésis;lieudit Les Laurents;45;;14;04;14|04;agréé et en vigueur;003E0010;48N0200;31,761;78;164;2;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;9;9;9;9;9;8;7;6;4;3
Lyon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;7A;Lyon;69;69123;188,928;Towercast;Saint-Cyr-au-Mont-d'Or;73 route du Mont Cindre;69;;19;10;19|10;agréé et en vigueur;004E4915;45N4921;41,139;34;463;8;8;8;7;6;4;3;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8
Lyon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;7A;Vienne;38;38544;188,928;Towercast;Saint-Romain-en-Gal;Lieudit Pierre Plate;69;;67;05;67|05;agréé et en vigueur;004E4831;45N3157;35,315;45;473;2;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3
Dijon;métropole_métropolitain_1;SAS Société opératrice du multiplex M1;9D;Chalon-sur-Saône;71;71076;208,064;Towercast;Bissey-sous-Cruchaud;Le Temple;71;;06;02;06|02;agréé et en vigueur;004E3954;46N4411;38,13;27;469;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;2;3;4;6;7;8;8;8;8;8;8;8;8;8;7;6;4;3;2;1
