01/01/1900,BBC Radio 4 (AM),North East Scotland,Redmoss MF,BBC000004,1449,NJ94340257,90,76,"2.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,"2.300,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.114016,-2.095089
01/01/1900,BBC Radio 4 (AM),Cornwall,Redruth MF,BBC000004,756,SW70934026,182,24,"2.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,"2.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.217887,-5.2124
01/01/1900,BBC Radio 4 (AM),Newcastle,Wrekenton,BBC000004,603,NZ27465987,152,46,"0.500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,"2.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.932736,-1.572984
01/01/1900,BBC Radio 5 live,Cumbria,Barrow,BBC000005,693,SD218707,23,45,"0.600,000",30,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,6,7,8,9,9,9,9,9,9,9,8,7,6,5,4,3,2,2,1,1,1,46,"1.580,000",1,0,0,0,0,0,1,2,2,2,3,3,4,5,6,7,8,9,10,10,10,10,10,10,10,9,8,7,6,5,4,3,3,2,2,2,54.126165,-3.198099
01/01/1900,BBC Radio 5 live,Sussex,Bexhill MF,BBC000005,693,TQ724071,15,45,"0.400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.837744,0.447085
01/01/1900,BBC Radio 5 live,London and the South East,Brookmans Park,BBC000005,909,TL26040481,127,152,"200.000,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,"228.999,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.727838,-0.176464
01/01/1900,BBC Radio 5 live,North Scotland,Burghead,BBC000005,693,NJ12496853,40,150,"25.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,"59.999,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.69801,-3.46983
01/01/1900,BBC Radio 5 live,A,Clevedon,BBC000005,909,ST40036976,5,107,"74.999,955",,3,4,5,6,7,7,7,7,7,7,7,7,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,107,"78.999,983",3,4,5,6,7,7,7,7,7,7,7,7,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,51.423652,-2.863893
01/01/1900,BBC Radio 5 live,Dartford Tunnel,Dartford Tunnel,BBC000005,909,TQ571769,3,0,"0.004,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"0.004,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.469253,0.260425
01/01/1900,BBC Radio 5 live,Midlands,Droitwich,BBC000005,693,SO92916672,48,102,"149.999,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,"251.000,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.298545,-2.105388
01/01/1900,BBC Radio 5 live,A,Enniskillen AM,BBC000005,693,IH23274572,70,45,"0.400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.359626,-7.642841
01/01/1900,BBC Radio 5 live,Newcastle,Fareham,BBC000005,909,SU54520582,30,61,"0.800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.849331,-1.226918
01/01/1900,BBC Radio 5 live,South Hampshire & Isle of Wight,Fern Barrow,BBC000005,909,SZ06989258,44,45,"0.500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.732788,-1.902461
01/01/1900,BBC Radio 5 live,Kent,Folkestone MF,BBC000005,693,TR255389,145,45,"0.400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,"1.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.105014,1.219804
01/01/1900,BBC Radio 5 live,Northern Ireland,Lisnagarvey,BBC000005,909,IJ25746187,44,45,"5.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,"10.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.489676,-6.060423
